energy,health,age,alive,planet_temp,planet_weather,hazards_count,inventory_food,inventory_water,inventory_materials,inventory_tools,successful_hunts,escapes,builds,trades,reproductions,attacks,gathers,explorations,hazard_radiation,hazard_toxic_gases,hazard_heat_stroke,hazard_freezing,action,action_success,decision_reason,tick,timestamp
81,91,2,1,0,,0,9,9,5,2,0,1,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.872741
81,91,2,1,0,,0,9,9,5,2,0,1,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.876408
59,84,3,1,0,,0,9,9,5,2,0,2,0,0,0,0,0,0,0,0,0,0,FLEE,1,unknown,3,2025-05-12T06:37:58.878227
59,84,3,1,0,,0,9,9,5,2,0,1,0,0,0,0,0,0,0,0,0,0,FLEE,0,unknown,3,2025-05-12T06:37:58.879907
59,84,3,1,0,,0,9,9,5,2,0,2,0,0,0,0,0,0,0,0,0,0,FLEE,1,unknown,3,2025-05-12T06:37:58.884532
62,82,4,1,0,,0,8,8,5,2,0,2,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,4,2025-05-12T06:37:58.897227
62,82,4,1,0,,0,8,8,5,2,0,1,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,4,2025-05-12T06:37:58.900881
62,82,4,1,0,,0,8,8,5,2,0,2,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,4,2025-05-12T06:37:58.906144
40,75,5,1,0,,0,8,8,5,2,0,2,0,0,0,0,0,0,0,0,0,0,FLEE,0,unknown,5,2025-05-12T06:37:58.943451
40,75,5,1,0,,0,8,8,5,2,0,2,0,0,0,0,0,0,0,0,0,0,FLEE,1,unknown,5,2025-05-12T06:37:58.968847
40,75,5,1,0,,0,8,8,5,2,0,3,0,0,0,0,0,0,0,0,0,0,FLEE,1,unknown,5,2025-05-12T06:37:58.982813
43,73,6,1,0,,0,7,7,5,2,0,2,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:59.011654
43,73,6,1,0,,0,7,7,5,2,0,2,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:59.025243
43,73,6,1,0,,0,7,7,5,2,0,3,0,0,0,0,0,0,0,0,0,0,REST,0,unknown,6,2025-05-12T06:37:59.105863
21,66,7,1,0,,0,7,7,5,2,0,2,0,0,0,0,0,0,0,0,0,0,FLEE,0,unknown,7,2025-05-12T06:37:59.143051
21,66,7,1,0,,0,7,7,5,2,0,3,0,0,0,0,0,0,0,0,0,0,FLEE,1,unknown,7,2025-05-12T06:37:59.155686
21,66,7,1,0,,0,7,7,5,2,0,3,0,0,0,0,0,0,0,0,0,0,FLEE,0,unknown,7,2025-05-12T06:37:59.195501
24,64,8,1,0,,0,6,6,5,2,0,2,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,8,2025-05-12T06:37:59.223125
24,64,8,1,0,,0,6,6,5,2,0,3,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,8,2025-05-12T06:37:59.237635
24,64,8,1,0,,0,6,6,5,2,0,3,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,8,2025-05-12T06:37:59.259189
2,57,9,1,0,,0,6,6,5,2,0,3,0,0,0,0,0,0,0,0,0,0,FLEE,1,unknown,9,2025-05-12T06:37:59.272367
2,57,9,1,0,,0,6,6,5,2,0,3,0,0,0,0,0,0,0,0,0,0,FLEE,0,unknown,9,2025-05-12T06:37:59.287368
2,57,9,1,0,,0,6,6,5,2,0,4,0,0,0,0,0,0,0,0,0,0,FLEE,1,unknown,9,2025-05-12T06:37:59.353589
5,55,10,1,0,,0,5,5,5,2,0,3,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,10,2025-05-12T06:37:59.387473
5,55,10,1,0,,0,5,5,5,2,0,3,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,10,2025-05-12T06:37:59.429209
5,55,10,1,0,,0,5,5,5,2,0,4,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,10,2025-05-12T06:37:59.478389
83,95,1,1,0,,0,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,1,2025-05-12T06:37:58.925217
83,95,1,1,0,,0,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,0,unknown,1,2025-05-12T06:37:58.925544
83,95,1,1,0,,0,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,1,2025-05-12T06:37:58.926116
86,97,2,1,0,,0,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.930035
86,97,2,1,0,,0,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.942211
86,97,2,1,0,,0,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.943391
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,3,2025-05-12T06:37:58.954926
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,0,unknown,3,2025-05-12T06:37:58.963566
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,3,2025-05-12T06:37:58.968139
52,90,4,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,EXPLORE,0,unknown,4,2025-05-12T06:37:58.975597
52,90,4,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,EXPLORE,0,unknown,4,2025-05-12T06:37:58.990683
52,90,4,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,EXPLORE,0,unknown,4,2025-05-12T06:37:59.001823
55,92,5,1,0,,0,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:59.014120
55,92,5,1,0,,0,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:59.031240
55,92,5,1,0,,0,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:59.041674
58,94,6,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:59.070922
58,94,6,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:59.082868
58,94,6,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:59.144792
41,92,7,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,1,unknown,7,2025-05-12T06:37:59.178455
41,92,7,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,1,unknown,7,2025-05-12T06:37:59.189771
41,92,7,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,EXPLORE,0,unknown,7,2025-05-12T06:37:59.200200
34,92,8,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,1,unknown,8,2025-05-12T06:37:59.223943
34,92,8,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,1,unknown,8,2025-05-12T06:37:59.249601
34,92,8,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,HIDE,1,unknown,8,2025-05-12T06:37:59.262160
27,92,9,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,1,unknown,9,2025-05-12T06:37:59.279849
27,92,9,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,1,unknown,9,2025-05-12T06:37:59.301605
27,92,9,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,HIDE,0,unknown,9,2025-05-12T06:37:59.417268
20,92,10,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,0,unknown,10,2025-05-12T06:37:59.440967
20,92,10,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,HIDE,1,unknown,10,2025-05-12T06:37:59.480559
20,92,10,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,HIDE,1,unknown,10,2025-05-12T06:37:59.503569
83,95,1,1,0,,0,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,0,unknown,1,2025-05-12T06:37:58.894749
83,95,1,1,0,,0,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,1,2025-05-12T06:37:58.895243
83,95,1,1,0,,0,10,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,1,2025-05-12T06:37:58.895726
86,97,2,1,0,,0,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.899093
86,97,2,1,0,,0,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.902120
86,97,2,1,0,,0,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,2,2025-05-12T06:37:58.905260
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,3,2025-05-12T06:37:58.920747
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,3,2025-05-12T06:37:58.926471
69,92,3,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFEND,1,unknown,3,2025-05-12T06:37:58.933765
52,90,4,1,0,,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,EXPLORE,0,unknown,4,2025-05-12T06:37:58.941374
52,90,4,1,0,,0,9,9,7,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,1,unknown,4,2025-05-12T06:37:58.944171
52,90,4,1,0,,0,9,9,7,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,1,unknown,4,2025-05-12T06:37:58.947371
55,92,5,1,0,,0,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,REST,0,unknown,5,2025-05-12T06:37:58.954729
55,92,5,1,0,,0,8,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:58.974462
55,92,5,1,0,,0,8,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,5,2025-05-12T06:37:58.994445
58,94,6,1,0,,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:59.008589
58,94,6,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,0,unknown,6,2025-05-12T06:37:59.022397
58,94,6,1,0,,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,REST,1,unknown,6,2025-05-12T06:37:59.057244
41,92,7,1,0,,0,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,EXPLORE,1,unknown,7,2025-05-12T06:37:59.085883
